INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,17.08489,3
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,47.07113,3
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,13.15073,3
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,48.81057,3
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,15.26051,3
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,39.10871,3
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,27.07546,3
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,41.10152,3
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,36.99813,3
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,44.13963,3
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,40.77451,3
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,46.0286,3
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,50.58134,3
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,51.1383,3
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,41.59734,3
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,10.4678,3
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,20.39903,3
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,40.97678,3
